# [1]TIME  [2]v_out09 
 2.891656e-09  1.183107e+00 
 2.896367e-09  1.187971e+00 
 2.901080e-09  1.188935e+00 
 2.906626e-09  1.210680e+00 
 2.911954e-09  1.247020e+00 
 2.913265e-09  1.248598e+00 
 2.914406e-09  1.240439e+00 
 2.918060e-09  1.127761e+00 
 2.922949e-09  8.286109e-01 
 2.928852e-09  3.813563e-01 
 2.933392e-09  1.660252e-01 
 2.938199e-09  9.190791e-02 
 2.942509e-09  5.324040e-02 
 2.947800e-09  2.866930e-02 
 2.952482e-09  2.276740e-02 
 2.957125e-09  2.196163e-02 
 2.961408e-09  1.958009e-02 
 2.966645e-09  1.629918e-02 
 2.972052e-09  1.309153e-02 
 2.976706e-09  1.026284e-02 
 2.981424e-09  7.587452e-03 
 2.986838e-09  7.291635e-03 
 2.992407e-09  8.226556e-03 
 2.997036e-09  -5.838678e-03 
 3.001858e-09  -3.440238e-02 
 3.007286e-09  5.335708e-02 
 3.012810e-09  3.590014e-01 
 3.017455e-09  5.879495e-01 
 3.022250e-09  6.803869e-01 
 3.027796e-09  7.368060e-01 
 3.033217e-09  8.014414e-01 
 3.037897e-09  8.720827e-01 
 3.042665e-09  9.366481e-01 
 3.048286e-09  1.004965e+00 
 3.053616e-09  1.062457e+00 
 3.058326e-09  1.105947e+00 
 3.063062e-09  1.140153e+00 
 3.068620e-09  1.167842e+00 
 3.073936e-09  1.183107e+00 
 3.078647e-09  1.187971e+00 
 3.083360e-09  1.188935e+00 
 3.088906e-09  1.210680e+00 
 3.094234e-09  1.247020e+00 
 3.095544e-09  1.248598e+00 
 3.096686e-09  1.240439e+00 
 3.100340e-09  1.127761e+00 
 3.105229e-09  8.286109e-01 
 3.111132e-09  3.813563e-01 
 3.115672e-09  1.660252e-01 
 3.120479e-09  9.190791e-02 
 3.124789e-09  5.324040e-02 
 3.130080e-09  2.866930e-02 
 3.134762e-09  2.276740e-02 
 3.139405e-09  2.196163e-02 
 3.143688e-09  1.958009e-02 
 3.148925e-09  1.629918e-02 
 3.154332e-09  1.309153e-02 
 3.158986e-09  1.026284e-02 
 3.163704e-09  7.587452e-03 
 3.169118e-09  7.291635e-03 
 3.174687e-09  8.226556e-03 
 3.179316e-09  -5.838678e-03 
 3.184138e-09  -3.440238e-02 
 3.189566e-09  5.335708e-02 
 3.195090e-09  3.590014e-01 
 3.199734e-09  5.879495e-01 
 3.204530e-09  6.803869e-01 
 3.210076e-09  7.368060e-01 
 3.215497e-09  8.014414e-01 
 3.220177e-09  8.720827e-01 
 3.224945e-09  9.366481e-01 
 3.230566e-09  1.004965e+00 
 3.235896e-09  1.062457e+00 
 3.240606e-09  1.105947e+00 
 3.245342e-09  1.140153e+00 
 3.250900e-09  1.167842e+00 
 3.256216e-09  1.183107e+00 
 3.260927e-09  1.187971e+00 
 3.265640e-09  1.188935e+00 
 3.271186e-09  1.210680e+00 
 3.276514e-09  1.247020e+00 
 3.277824e-09  1.248598e+00 
 3.278966e-09  1.240439e+00 
 3.282620e-09  1.127761e+00 
 3.287509e-09  8.286109e-01 
 3.293412e-09  3.813563e-01 
 3.297952e-09  1.660252e-01 
 3.302759e-09  9.190791e-02 
 3.307069e-09  5.324040e-02 
 3.312360e-09  2.866930e-02 
 3.317042e-09  2.276740e-02 
 3.321685e-09  2.196163e-02 
 3.325968e-09  1.958009e-02 
 3.331205e-09  1.629918e-02 
 3.336611e-09  1.309153e-02 
 3.341266e-09  1.026284e-02 
 3.345983e-09  7.587452e-03 
 3.351398e-09  7.291635e-03 
 3.356966e-09  8.226556e-03 
 3.361596e-09  -5.838678e-03 
 3.366418e-09  -3.440238e-02 
 3.371846e-09  5.335708e-02 
 3.377369e-09  3.590014e-01 
 3.382014e-09  5.879495e-01 
 3.386809e-09  6.803869e-01 
 3.392356e-09  7.368060e-01 
 3.397777e-09  8.014414e-01 
 3.402457e-09  8.720827e-01 
 3.407225e-09  9.366481e-01 
 3.412846e-09  1.004965e+00 
 3.418176e-09  1.062457e+00 
 3.422885e-09  1.105947e+00 
 3.427622e-09  1.140153e+00 
 3.433180e-09  1.167842e+00 
 3.438496e-09  1.183107e+00 
 3.443207e-09  1.187971e+00 
 3.447920e-09  1.188935e+00 
 3.453466e-09  1.210680e+00 
 3.458794e-09  1.247020e+00 
 3.460104e-09  1.248598e+00 
 3.461246e-09  1.240439e+00 
 3.464900e-09  1.127761e+00 
 3.469789e-09  8.286109e-01 
 3.475692e-09  3.813563e-01 
 3.480232e-09  1.660252e-01 
 3.485039e-09  9.190791e-02 
 3.489349e-09  5.324040e-02 
 3.494640e-09  2.866930e-02 
 3.499322e-09  2.276740e-02 
 3.503965e-09  2.196163e-02 
 3.508248e-09  1.958009e-02 
 3.513485e-09  1.629918e-02 
 3.518891e-09  1.309153e-02 
 3.523546e-09  1.026284e-02 
 3.528263e-09  7.587452e-03 
 3.533678e-09  7.291635e-03 
 3.539246e-09  8.226556e-03 
 3.543876e-09  -5.838678e-03 
 3.548698e-09  -3.440238e-02 
 3.554126e-09  5.335708e-02 
 3.559649e-09  3.590014e-01 
 3.564294e-09  5.879495e-01 
 3.569089e-09  6.803869e-01 
 3.574636e-09  7.368060e-01 
 3.580057e-09  8.014414e-01 
 3.584737e-09  8.720827e-01 
 3.589505e-09  9.366481e-01 
 3.595126e-09  1.004965e+00 
 3.600456e-09  1.062457e+00 
 3.605165e-09  1.105947e+00 
 3.609902e-09  1.140153e+00 
 3.615460e-09  1.167842e+00 
 3.620776e-09  1.183107e+00 
 3.625487e-09  1.187971e+00 
 3.630200e-09  1.188935e+00 
 3.635746e-09  1.210680e+00 
 3.641074e-09  1.247020e+00 
 3.642384e-09  1.248598e+00 
 3.643526e-09  1.240439e+00 
